Number,Block Type,Aylward #,Aylward Notes,Day Recorded,Lewis Type,Slant,Depth,Lenth at Base,Width,Contact Surface (cm^2),Angle of Slant,Block Material,Width,Depth,Height,"Volume, Block",Published/Measured,Notes on Volume/Shape
128,tympanum,,,2005 (Saturday),Wedge,Single,0.15,0.147,0.027,39.178,7,marble (Thasian),1.933,0.693,0.561,0.751498209,"Samothrace Volume 3, Plate LXXV",tympanum 128
,wall epistyle,,iron nail found inside,2005 (Saturday),Wedge,Single,0.17,0.137,0.016,27.306,14,marble (Thasian),2.405,0.457,0.64,0.7034144,"Samothrace Volume 3, Plate LXXI",use architrave 18?
,wall epistyle,,lead fragment found inside,2005 (Saturday),Wedge,Single,0.155,0.131,0.015,23.22,10,marble (Thasian),,,,0.7034144,"Samothrace Volume 3, Plate LXXI",use architrave 18?
,column drum,A,,2005 (Friday),Wedge,Single,0.14,0.17,0.026,,,marble (Thasian),,,,0.732,"Samothrace Volume 3, Plate LXIII",use drum 13
13?,column drum,B,,2005 (Friday),Wedge,Single,0.12,0.169,0.024,,,marble (Thasian),0.8415,,1.316,0.732,"Samothrace Volume 3, Plate LXIII",use drum 13
,epikranitis,Lewis A,moldings on both sides,2005 (Saturday),Wedge,Single,0.146,0.153,0.026,31.308,22.5,marble (Thasian),,,,,,?
,epikranitis,Lewis B,moldings on both sides,2005 (Saturday) ,Wedge,Single,0.105,0.124,0.016,16.815,16,marble (Thasian),,,,,,?
,capital (Doric),,,2005 (Saturday),Wedge,Single,0.13,0.132,0.019,20.789,11.15,marble (Thasian),0.902,,0.4096,0.262,"Samothrace Volume 3, Plate LXIV",use capitol 43?
,epikranitis (corner)?,,,2005 (Saturday),Wedge,Single,0.095,0.105,0.02,18.248,none,marble (Thasian),,,,,,?
,epikranitis (corner),,,2005 (Saturday),Wedge,Single,0.105,0.175,0.02,23.312,18,marble (Thasian),,,,,,?
407,anta,anta 4,,2005 (Saturday),Wedge,Single,0.085,0.15,0.03,22.699,none,marble (Thasian),2.422556962,0.86,0.272,0.5666845246,"Samothrace Volume 3, Plate LXVI",hieron anta 407
,anta,anta 3,delta mason mark,2005 (Sunday),Wedge,Single,0.145,0.151,0.027,36.45,12.5,marble (Thasian),,,,0.5666845,"Samothrace Volume 3, Plate LXVI",use hieron anta 407?
