Number,Block Type,Aylward notes,Day Recorded,,Lewis Type,Slant,Depth,Lenth at Base,Width,Contact Surface (cm^2),Angle of Slant,,Block Material,Width,Depth,Height,"Volume, Block",Published/Measured,Notes on Volume/Shape,Mass of Block,Contact Surface (cm^2),Weight of Block
C-21,epistyle,,2005 (Thursday),,Wedge,Single,0.125,0.167,0.031,37.37,15.5,,marble (Thasian),1.3375,>0.9875,0.646,0.8532246875,,"use C-18 Volume 7, Plate XLII",0,37.37,0
C-10,epistyle,,2005 (Thursday),,Wedge,Single,0.13,0.17,0.031,38.914,12.5,,marble (Thasian),,,,0.8532246875,,"use C-18 Volume 7, Plate XLII",0,38.914,0
G-27,pier (with engaged Corinthian capital),,2005 (Thursday),,Wedge,Single,0.13,0.172,0.031,38.959,11.5,,marble (Thasian),0.424,0.875,2.262,0.839202,,"use G-30 Volume 7, Plate XXXV; get rectangular shape",0,38.959,0
G-28,pier (with engaged Corinthian capital),,2005 (Thursday),,Wedge,Single,0.145,0.172,0.031,35.844,13,,marble (Thasian),,,,0.839202,,"use G-30 Volume 7, Plate XXXV; get rectangular shape",0,35.844,0
G-55,pier (with engaged Corinthian capital),,2005 (Thursday),,Wedge,Single,0.13,0.187,0.031,34.481,19.5,,marble (Thasian),,,,0.839202,,"use G-30 Volume 7, Plate XXXV; get rectangular shape",0,34.481,0
W-16,sima,,2005 (Thursday),,Wedge,Single,0.15,0.187,0.031,44.982,13,,marble (Thasian),see note in book,,,0.4141265625,,"use W-7 Volume 7, Plate LV ",0,44.982,0
W-1,sima,,2005 (Thursday),,Wedge,Single,0.15,0.188,0.033,46.318,15,,marble (Thasian),,,,0.4141266,,"use W-7 Volume 7, Plate LV",0,46.318,0
W-21,sima,,2005 (Thursday),,Wedge,Single,0.149,0.197,0.033,22.785,13,,marble (Thasian),,,,0.4141266,,"use W-7 Volume 7, Plate LV",0,22.785,0
W-19,sima,,2005 (Thursday),,Wedge,Single,0.15,0.195,0.032,44.823,13,,marble (Thasian),,,,0.4141266,,"use W-7 Volume 7, Plate LV",0,44.823,0
W-?,sima,on rotunda wall,2005 (Thursday),,Wedge,Single,0.15,0.192,0.032,44.882,12,,marble (Thasian),,,,0.4141266,,"use W-7 Volume 7, Plate LV",0,44.882,0
C-?,epistyle (inscribed),,2005 (Thursday),,Wedge,Single,0.14,0.175,0.037,44.554,11,,marble (Thasian),,,,0.8532246875,,"use C-18 Volume 7, Plate XLII",0,44.554,0
W-?,sima,by Hall E,2005 (Thursday),,Wedge,Single,0.08,0.095,0.014,10.958,9,,marble (Thasian),,,,0.4141266,,"use W-7 Volume 7, Plate LV",0,10.958,0
W-?,sima,"partially burned, near rotunda",2005 (Thursday),,Wedge,Single,0.08,0.083,0.012,8.436,18,,marble (Thasian),,,,0.4141266,,"use W-7 Volume 7, Plate LV",0,8.436,0
Z-28,epikranitis,,2005 (Thursday),,Wedge,Single,0.1,0.124,0.018,16.264,16.264,,marble (Thasian),,,,0.54008955,,"use Z-13 Volume 7, Plate XXVI, averaged two widths",0,16.264,0
U-29,wall block,,2005 (Thursday),,Wedge,Double,0.08,0.133,0.018,14.619,15,,marble (Thasian),1.377,0.45,0.756,0.4684554,,"use U-25 Volume 7, Plate XVIII",0,14.619,0
U-27,wall block,,2005 (Thursday),,Wedge,Single,0.078,0.134,0.018,14.179,9,,marble (Thasian),,,,0.4684554,,"use U-25 Volume 7, Plate XVIII",0,14.179,0
U-2,wall block,traces of metal at base,2005 (Thursday),,Wedge,Single?,0.071,0.13,0.019,12.916,13,,marble (Thasian),,,,0.4684554,,"use U-25 Volume 7, Plate XVIII",0,12.916,0
U-7,wall block,,2005 (Thursday),,Wedge,Single,0.065,0.14,0.018,10.004,16,,marble (Thasian),,,,0.4684554,,"use U-25 Volume 7, Plate XVIII",0,10.004,0
M-42,parapet,,2005 (Thursday),,Wedge,Single,0.05,0.151,0.027,13.533,13.5,,marble (Thasian),1.2685,1.03,0.517,0.675488935,,"use M-40 Volume 7, Plate XXXII; average two widths",0,13.533,0
M-47,parapet,,2005 (Thursday),,Wedge,Single,0.096,0.163,0.026,24.452,18,,marble (Thasian),,,,0.675488935,,"use M-40 Volume 7, Plate XXXII; average two widths",0,24.452,0
Z-3,epikranitis,,2005 (Thursday),,Wedge,Single,0.094,0.151,0.026,23.492,10.5,,marble (Thasian),1.3625,1.092,0.363,0.54008955,,"use Z-13 Volume 7, Plate XXVI, averaged two widths",0,23.492,0
Z-11,epikranitis,,2005 (Thursday),,Wedge,Single,0.079,0.146,0.025,20.01,5,,marble (Thasian),,,,0.54008955,,"use Z-13 Volume 7, Plate XXVI, averaged two widths",0,20.01,0
Z-25,epikranitis,,2005 (Thursday),,Wedge,Single,0.085,0.158,0.031,24.909,11,,marble (Thasian),,,,0.54008955,,"use Z-13 Volume 7, Plate XXVI, averaged two widths",0,24.909,0
W-45,sima,,2005 (Thursday),,Wedge,Single,0.055,0.156,0.029,14.587,11,,marble (Thasian),,,,0.4141266,,"use W-7 Volume 7, Plate LV",0,14.587,0
